,overall_score,style_score,city,land,country,beer_type,abv,brewery,beer_name,calories,average_rating,review_average,weighted_average,description,served_in
107,26,1.0,Wrocław,Lower Silesian,Poland,IPA - Milkshake / Smoothie,5.7%,Doctor Brew,Doctor Brew Strawberry Milkshake IPA,171 cal per 355ml,3.02,2.90,2.91,"Wytrawność New England IPA, słodkość laktozy oraz nuta truskawki i wanilii rodem z tradycyjnego, amerykańskiego milkshake'a. Fuzja smaków ukryta w gładkiej konsystencji, za którą odpowiada pulpa z jabłek. Aż chciałoby się zacytować Vincenta Vegę ""That's a pretty ***** good milkshake"".…",
108,25,32.0,Wrocław,Lower Silesian,Poland,Flavored - Other,6.2%,Doctor Brew,Doctor Brew Choco Boss,186 cal per 355ml,2.74,2.85,2.86,"16 BLG, brewed with sweet orange peel, curaçao, cocoa, Magnum (DE) and Cascade (USA) hops.",Lager glass
109,7,0.0,Wrocław,Lower Silesian,Poland,Stout - Dry / Irish,4.0%,Doctor Brew,Doctor Brew Irish Stout,120 cal per 355ml,2.32,2.38,2.42,"Irish Stout 10 BLG, Fuggles hop.…",English pint
135,97,89.0,Bojanowo,Greater Poland,Poland,Porter - Baltic,8.5%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojan Porter Karibski,255 cal per 355ml,3.77,3.83,3.75,"Piwo Jubeuszowe na 140 lat Browaru Bojanowo
Porter Karaibski 24°;8,5%
Piwo pasteryzowane, niefiltrowane.…",English pint
136,93,77.0,Bojanowo,Greater Poland,Poland,Porter - Baltic,9.0%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojan Porter,270 cal per 355ml,3.68,3.67,3.64,22 BLG,English pint
137,81,45.0,Bojanowo,Greater Poland,Poland,Porter - Baltic,8.7%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojanowo Porter Śliwkowy,261 cal per 355ml,3.47,3.64,3.49,,English pint
138,73,82.0,Bojanowo,Greater Poland,Poland,Smoked - Rauchbier,6.5%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojan Koźlak Wędzony,195 cal per 355ml,3.55,3.48,3.43,"Koźlak to klasyczny styl piwa, którego korzenie sięgają XIV wieku. Na recepturę piwa Bojan Koźlak składa się w znacznej mierze słód wędzony drewnem bukowym co powoduje, że piwo jest intensywnie aromatyczne.",Dimpled mug
139,55,44.0,Bojanowo,Greater Poland,Poland,IPA,5.8%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojan AIPA,174 cal per 355ml,3.35,3.35,3.31,"Amerykańskie IPA 15.1BLG. Żywiczny, sosnowy i owocowy charakter przeplata się z mocną goryczką, wynikającą z użycia najlepszych odmian amerykańskich chmieli.
Piwo o intensywnym smaku i aromacie. Dojrzałe, a jednocześnie niesamowicie pijalne.…",Shaker
140,48,13.0,Bojanowo,Greater Poland,Poland,IIPA DIPA - Imperial / Double IPA,9.0%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojan Triple IPA TDH TIPA,270 cal per 355ml,3.36,3.31,3.24,"Piwo jubileuszowe na 140 lecie!  22°; 9%

Piwo pasteryzowane, niefiltrowane, moze zawierac naturalny osad drozdzowo-chmielowy.…",Shaker
141,47,80.0,Bojanowo,Greater Poland,Poland,Flavored - Other,5.0%,Browar Bojanowo (Browary Regionalne Jakubiak),Bojan Miodowe,150 cal per 355ml,3.34,3.33,3.23,"Bojan Miodowe to piwo górnej fermentacji utworzone w browarze, który funkcjonuje od 1881 r. Nasze miodowe to tylko naturalne składniki, kluczowym z nich jest miód nektarowo-spadziowy polskiego pochodzenia, nadaje on piwu złożony miodowy zapach oraz nienachalną słodycz. Piwo jest niefiltrowane, osad na dnie jest efektem naturalnym.",Lager glass
